### Metrics File V1.1
Metrics for HAVO3B1
Day: 07:00:00 to 18:59:59
Night: 19:00:00 to 06:59:59
Summer: May to Aug
Winter: Oct to Feb
Fall: Sep to Sep
Spring: Mar to Apr
Source of Interest: Aircraft
Truncated dBA (also referenced as dBT) Frequency Range: 20Hz to 1250Hz

Median dBA values by Hour, Winter (n = 206hrs)
Hr	Lmin	L099	L090	Lnat	L050	L010	L001	Lmax	Leq
13	47.4	42.6	41.4	38.6	35.0	36.4	32.2	32.5	31.7	29.1	27.1	26.2	25.1	23.8	22.7	20.8	19.9	18.9	18.7	17.4	14.3	12.8	10.8	09.6	09.3	09.4	09.8	09.9	11.0	12.0	11.3	10.6	09.7
14	47.4	43.6	40.8	37.1	33.4	31.7	30.6	29.4	28.8	27.6	26.2	25.1	24.1	22.7	22.7	21.7	20.6	18.5	17.3	16.0	13.6	11.2	09.2	07.1	06.8	07.1	07.7	07.8	08.5	09.0	08.4	08.7	07.9
15	41.0	37.3	36.2	32.6	29.9	29.6	28.6	27.3	26.0	25.2	23.3	22.3	21.8	21.6	22.0	19.6	17.5	17.0	15.6	14.8	12.7	09.9	07.9	06.8	06.2	06.4	07.2	07.3	08.0	08.7	08.7	08.7	07.6
16	36.1	32.9	30.8	28.9	27.5	27.3	26.6	25.9	25.1	24.3	23.7	21.7	20.4	19.8	18.5	16.4	13.3	12.3	10.7	10.4	08.1	06.0	04.6	04.5	04.9	05.7	06.5	06.8	07.7	08.4	08.3	08.4	07.4
17	38.4	34.2	31.5	28.7	27.2	27.4	25.9	25.7	25.7	25.1	24.1	22.9	21.7	20.8	20.1	18.3	16.9	15.6	15.0	14.0	11.0	08.9	06.8	05.5	05.1	05.5	06.3	06.7	07.4	08.2	08.1	08.3	07.3
18	42.0	39.9	37.3	34.1	31.4	30.3	29.9	29.9	29.8	28.8	27.7	26.4	25.0	24.2	24.1	23.5	22.7	20.3	19.2	17.6	14.8	12.6	10.4	08.3	07.0	06.6	06.9	07.0	07.6	08.3	08.1	08.2	07.3
19	44.8	40.3	36.2	32.9	30.5	29.7	29.5	29.3	28.9	28.1	26.6	25.0	23.5	22.8	24.2	23.6	22.4	21.2	20.1	19.1	15.8	13.3	11.1	08.6	07.1	06.5	06.9	06.8	07.5	08.2	08.1	08.3	07.4
20	43.4	38.9	35.1	32.1	30.2	29.5	29.2	28.9	28.8	28.5	26.7	24.9	23.3	22.6	23.4	23.0	22.0	20.8	19.7	18.7	15.4	13.0	10.8	08.3	06.7	06.2	06.6	06.7	07.5	08.2	08.1	08.3	07.5
21	40.6	37.4	33.7	30.7	28.6	27.3	26.9	27.1	26.8	26.2	25.6	24.4	23.1	21.9	20.7	20.1	18.9	17.1	15.9	14.6	11.9	10.2	08.9	07.7	06.9	06.6	07.0	07.0	07.6	08.3	08.2	08.4	07.5
22	38.6	34.3	30.9	28.0	26.4	25.6	25.3	25.2	25.0	24.6	24.2	23.2	22.0	20.9	19.3	18.3	17.5	15.4	14.1	12.8	10.0	08.2	06.4	05.3	05.1	05.5	06.3	06.7	07.5	08.2	08.1	08.3	07.4
